Account	To	Block	TxIdx	#	BadBeefEthers	SumBadBeefEthers	Timestamp	DateTime	TxHash
0x97f8bbe39b14e3b626e46331605b48eda53da208	27beefcbad782faf69fad12dee97ed894c68549	3791822	87	1	0.049718286171545096	0.049718286171545096		1496134268	Tue, 30 May 2017 08:51:08 UTC	0x0da111a2f064b6d7bcf25e5b0c0be110c9f246ff037a7816e214b1298936232c
0xe91433c8d16fa31a664386e7cd03de5e42d09a14	27beefcbad782faf69fad12dee97ed894c68549	3791822	91	2	198.99955002	199.049268306171545096		1496134268	Tue, 30 May 2017 08:51:08 UTC	0xf211bc547c9f890bdd1e92e330bffa829a19575cfbfc73127246273ccd57babf
0x59714bad0958b19792b218d95fc5f046548f0709	27beefcbad782faf69fad12dee97ed894c68549	3791822	97	3	799.999631384132528338	999.048899690304073434		1496134268	Tue, 30 May 2017 08:51:08 UTC	0xdeddd387726f9b5f6e70196259a5a3b0d71b6b4b4d01e18ae92c016a31be9e17
0xb1d85314a5c6cdbfaa42a9fd955a88335dc41911	27beefcbad782faf69fad12dee97ed894c68549	3791822	100	4	21.494568678910420029	1020.543468369214493463		1496134268	Tue, 30 May 2017 08:51:08 UTC	0x9d91c39a6ca2e777a55722345dce4503cddc64f2bbc8c22fbcf0cbb20ea48ab1
0x8aefe2a0ab85cfc2547b24ce650fb13b0e09d46d	27beefcbad782faf69fad12dee97ed894c68549	3791834	5	5	0.1055922613720276	1020.649060630586521063		1496134526	Tue, 30 May 2017 08:55:26 UTC	0x3e77e8bce1098d5ff8c5df60516856b0f713d078ceafce72c77f1f35f1ba421c
0x4a21057d80cf2c208068de099ed829f7e3b5d3fb	27beefcbad782faf69fad12dee97ed894c68549	3791834	6	6	18.999520631907823172	1039.648581262494344235		1496134526	Tue, 30 May 2017 08:55:26 UTC	0xeff4ced6b9f922f73e443b842f86c72fd8b3231f70e8a31c10005163b51ced88
0xf04a0425e08933fe8b1c47459fb5316535db5fe3	27beefcbad782faf69fad12dee97ed894c68549	3791858	15	7	0.45087266579494162	1040.099453928289285855		1496134832	Tue, 30 May 2017 09:00:32 UTC	0x250479ddadffab64b3809ae4f1ccc0e30451df8a6301d58d7a2fb895a668af68
0x1f4639c4cb1c8e7f1902a7388c62a34c70be3d1d	27beefcbad782faf69fad12dee97ed894c68549	3791858	16	8	0.105145688749927064	1040.204599617039212919		1496134832	Tue, 30 May 2017 09:00:32 UTC	0x991a5290cd1fc9e7030ff176351fd59ff68431065f81cb110a40cbd7c20513b9
0x59714bad0958b19792b218d95fc5f046548f0709	27beefcbad782faf69fad12dee97ed894c68549	3791858	17	9	33.95543070037018	1074.160030317409392919		1496134832	Tue, 30 May 2017 09:00:32 UTC	0xcc36393721b2c9a0c0f0932a096904dca30d3e8ea36acbee8bec0e0ca78d1db6
0x1ffd367c2770cd07c98ece9a378f93cc49f6192a	27beefcbad782faf69fad12dee97ed894c68549	3791876	2	10	0.679081932570693792	1074.839112249980086711		1496135111	Tue, 30 May 2017 09:05:11 UTC	0x5dbd2fb0ad9d4c3029af13f2fd3f6aea62f502790a267cb1130a834588df05d2
0xc01bb74ce7bcaaa4e47d403dcac493d75a4110a1	27beefcbad782faf69fad12dee97ed894c68549	3791876	3	11	5.61232366081736	1080.451435910797446711		1496135111	Tue, 30 May 2017 09:05:11 UTC	0xad22fb49eccacf880accd83109323583fd33a251555d6972883ff3c161b1fa88
0x7d559fbe0f6c5557c65b1491439ebd96d85d9c31	27beefcbad782faf69fad12dee97ed894c68549	3791878	3	12	22.412310231652477003	1102.863746142449923714		1496135158	Tue, 30 May 2017 09:05:58 UTC	0xb1a19f25f161e206d8a6f5378458d1d8da0c5b8343f8860c892566468030f5d8
0x45cab8d124fce8663581172c614f2ee08d01d48e	27beefcbad782faf69fad12dee97ed894c68549	3791891	4	13	223.999491265020613792	1326.863237407470537506		1496135408	Tue, 30 May 2017 09:10:08 UTC	0x4e1002d450e3d143657c0cfbd21df7124da2889e55d551bf0d7cde2d907b56a1
0x0247bc4e03142079cfa2e3daf500722ed0f9a6b2	27beefcbad782faf69fad12dee97ed894c68549	3791892	10	14	28.989533917399808338	1355.852771324870345844		1496135438	Tue, 30 May 2017 09:10:38 UTC	0x3d1cec95fdc622523f167449e36d808be1e2a475c56029773343a7f2b6df2d44
0xd4cd7abddc41c54cd1405a73b497228afb7bb9f7	27beefcbad782faf69fad12dee97ed894c68549	3791906	4	15	9.98306685745016	1365.835838182320505844		1496135718	Tue, 30 May 2017 09:15:18 UTC	0x630cacfd1992f8942e657facce844e6679d9ca8037e533b8774b2c22c5f74987
0xf8cf56df660b655cb913931ddb10fbd25ec5df82	27beefcbad782faf69fad12dee97ed894c68549	3791906	5	16	4.382119011569663172	1370.217957193890169016		1496135718	Tue, 30 May 2017 09:15:18 UTC	0x7e86b05eac756b1062e7420bcefe581a2e906197a8fc87832e7783905b2d88cf
